Feature,AD_Mean,HC_Mean,AD_Std,HC_Std,U_Statistic,P_Value,Effect_Size,Significant
F7_theta,0.3843942882846915,-0.05561605739756882,0.39758900197258207,0.2933318078250183,26809.0,8.936686224665554e-17,1.2594348409247538,True
F8_theta,0.3390191369046438,-0.08451147757585806,0.40044448816173633,0.26258965129278206,26908.0,4.52309735667507e-17,1.250803675919121,True
Fz_theta,0.3469085439661514,-0.07213912099039584,0.3859214784243457,0.32259417582504735,26546.0,5.289261491987094e-16,1.1781921128540638,True
F4_theta,0.29669151953607126,-0.10358356244356404,0.4015000906034443,0.3018385732379903,26330.0,2.2030207309331194e-15,1.1269569168705882,True
F3_theta,0.28167129576685,-0.11562545823394955,0.3762806266668975,0.3385491436628071,25929.0,2.8738696923138594e-14,1.1100389566464135,True
Fp1_theta,0.3107582111908159,-0.0741624113055802,0.417616682154316,0.35229222230384055,25232.0,1.9479149480004354e-12,0.9963322470053061,True
F1_theta,0.3107582111908159,-0.07436054408928887,0.417616682154316,0.35347303984471135,25217.0,2.1255700625649157e-12,0.9954565231856811,True
C3_theta,0.17493368820384803,-0.1717382375720918,0.3871916486609544,0.35029116621159584,24479.0,1.301508713423428e-10,0.9389745026651437,True
F1_gamma,-1.0395926115056484,-1.465755452210871,0.5114608505492813,0.4061777818648059,24091.0,9.834223173393435e-10,0.9227713507460007,True
Fp1_gamma,-1.0395926115056484,-1.4630159627035404,0.5114608505492813,0.40485408688911956,24041.0,1.2672441522295476e-09,0.9179954190898647,True
Fp2_theta,0.2831504337971636,-0.08625249337564087,0.4356939476259608,0.3668948971162556,24507.0,1.1205604480582904e-10,0.9171648666753147,True
F2_theta,0.2831504337971636,-0.06943347209764417,0.4356939476259608,0.3890547156073404,24168.0,6.634198241985489e-10,0.853645511658767,True
F3_gamma,-1.1439931743096439,-1.564106281823571,0.5984837711097444,0.42401435514291935,24086.0,1.0087499323423775e-09,0.8100312951443244,True
F1_beta,-0.5281380920181723,-0.7574434997082529,0.3712907606725352,0.27946848162608534,21865.0,1.6671408943525148e-05,0.6978196216405309,True
Fp1_beta,-0.5281380920181723,-0.7565197551878102,0.3712907606725352,0.2795920576392989,21824.0,1.936554253295892e-05,0.6948973511518128,True
F3_beta,-0.5221548737241816,-0.7379452344452498,0.3719821885004619,0.30276420321101416,22215.0,4.444463728228222e-06,0.6362800037670696,True
F4_gamma,-1.187366583196,-1.5059348917123967,0.61221783539961,0.4514911640859601,22556.0,1.1376109505033146e-06,0.5922536302245436,True
