Feature,AD_Mean,HC_Mean,AD_Std,HC_Std,U_Statistic,P_Value,Effect_Size,Significant
F4_delta,0.2877594904428979,0.3557367632423835,0.4444942021794951,0.2614230534357377,13824.0,0.026401836809033945,0.18642561946065908,True
T3_gamma,-0.6802340970056889,-0.7853446910872337,0.5838949953451634,0.6195356036177847,17770.0,0.32625642010567946,0.17460837098163365,False
F7_delta,0.5982150232249348,0.5318990309952029,0.41003780990857436,0.35649834267556224,18366.0,0.1428059617143937,0.1726071796787382,False
F8_beta,-0.5339905879082711,-0.4738820546219812,0.3139605058091326,0.3810309339151084,15053.0,0.22142783361823515,0.17217642048303464,False
Fz_beta,-0.7427814902324367,-0.7873177529621124,0.23737364966415025,0.28695976421143904,18048.0,0.22730931822001865,0.1691230564289558,False
Fz_delta,0.2705756672260617,0.3246603931463921,0.41586047813628724,0.2659107481811375,14325.0,0.06973681423605836,0.15495578438393748,False
Cz_delta,0.24849114842530043,0.29541383482212064,0.3882794193879168,0.2644748899715971,14014.0,0.038824956614310166,0.14125016096496534,True
Cz_alpha,-0.07699145760152103,-0.14506270113304995,0.4218598432446691,0.5406043511021582,18057.0,0.22450961408354697,0.1403875812562038,False
T3_alpha,0.08717641066123934,0.03427472235187473,0.3660123466569731,0.4288667417866657,17388.0,0.5018163452614225,0.13269205560699665,False
Fp2_alpha,-0.015263924303602653,0.05052590500420611,0.40621372318240595,0.5888235720580492,16138.0,0.7322699681054146,0.13006378215376382,False
Fz_alpha,-0.018758595878273585,0.04201267930596022,0.41664227516043084,0.5889475687469352,15901.0,0.5930185235301775,0.11913073758988181,False
C3_alpha,-0.10926401551184192,-0.15873349395022443,0.3839524517146994,0.5252205439733588,17811.0,0.3101250864939292,0.10753267594677954,False
Fp1_alpha,-0.0037976580069380168,0.04295653132199748,0.3984802297710855,0.5918706908854257,16598.0,0.9757188451689279,0.09266913003521103,False
F7_alpha,0.025966634029336372,0.06644894843711613,0.35246868971051665,0.5175257531348929,16055.0,0.682191913526854,0.09143240447645684,False
F4_alpha,0.001633162805514891,0.0450435327077347,0.40835891355691384,0.5845335680715307,16267.0,0.8123421582459044,0.08609741780206388,False
F8_gamma,-1.1026890573190615,-1.0583923689664978,0.5336460321251918,0.5146988807108243,15495.0,0.38759118842107265,0.08449405320481661,False
Fp2_delta,0.6207857617440169,0.591467530197708,0.5386325752354469,0.3432497392408044,16617.0,0.9634235649961138,0.06491599672479004,False
F3_alpha,-0.011057193228988741,0.012832863824118414,0.3772128533885637,0.5940175192122445,16653.0,0.9401534638084992,0.04801372423749597,False
Fp1_delta,0.6206838790124001,0.6003002263314431,0.5156136873933014,0.3675496989849141,16621.0,0.9608360947014009,0.04552518938039791,False
F8_alpha,0.05937697663637644,0.07836550862781547,0.37451750211854323,0.5255232445144149,16586.0,0.9834874442821719,0.04161320745978641,False
F7_gamma,-1.0525521815860643,-1.0680097315269552,0.5018150484200438,0.5367153273134673,16995.0,0.7243441803707382,0.02975132818452808,False
T3_beta,-0.25546714917025537,-0.24473450325932813,0.4495982274172579,0.44435752850684146,16184.0,0.7605398428777355,0.02401116927347304,False
F7_beta,-0.5194096857593239,-0.5240140530132995,0.305242010253626,0.36210768440658025,16947.0,0.7537488795669723,0.013749138521134314,False
C3_delta,0.07745353363422941,0.08089441312254146,0.4135325587234568,0.2929076003369623,15983.0,0.6398473771631016,0.009602482730988047,False
